[Acceptance that functions as a refusal],UK,HU
[Acceptance that functions as a refusal - Lack of enthusiasm],HU,HU
[Adjuncts to Refusals - Statement of positive opinion/feeling or agreement],UK,E
[Ask to discuss it],UK,E
[Attempt to dissuade interlocutor - Challenging the interlocutor],UK,E
[IAttempt to dissuade interlocutor - Criticize the request],HU,HU
[IAttempt to dissuade interlocutor - Criticize the request],UK,HU
[Attempt to dissuade interlocutor - Criticize the requester],UK,E
[Avoidance - Verbal - Hedging],HU,E
[Express of dislike],HU,E
[Express of disinterest],HU,E
[Interjection],HU,E
[Interjection],HU,HU
[Nonperformative statement - Negative willingness/ability],UK,E
[Statement of regret],HU,E
[Statement of regret],HU,HU
[Compromise],UK,E
[Nonperformative statement - Negative direct statement],UK,E
[Pause fillers/[Interjection]],UK,E
[Adjuncts to Refusals - “Have fun without me”],HU,E
"[Nonperformative statement - No]
",HU,E
[Wish],HU,E
Hedging (main),HU,E
Promise or possibility of future acceptance,HU,E
[Second conditional acceptance],HU,E
"[Adjuncts to Refusals - “Have fun without me”]
",HU,HU
"[Attempt to dissuade interlocutor - Request for help, empathy, and assistance by dropping or holding the request]",UK,HU
[Attempt to dissuade interlocutor],UK,HU
[Avoidance - verbal - postponement],UK,HU
[Avoidance (Silence)],UK,HU
[Express that they do not prefer it],UK,HU
[Adjuncts to Refusal - Asking for interlocutor’s opinion after refusal],UK,E
[Adjuncts to Refusals - Statement of positive opinion/feeling or agreement],HU,HU
[Avoidance - Verbal - Hedging],UK,E
[Avoidance - Verbal - Hedging],UK,HU
[Express of dislike],UK,HU
[Express of disinterest],HU,HU
[IAttempt to dissuade interlocutor - Question interlocutor],UK,E
[IAttempt to dissuade interlocutor - Question interlocutor],UK,HU
[Statement of regret],UK,HU
[Sarcasm],HU,HU
[Adjuncts to Refusal - Asking for interlocutor’s opinion after refusal],UK,E
[Adjuncts to Refusals - Statement of positive opinion/feeling or agreement],HU,HU
[Avoidance - Verbal - Hedging],UK,E
[Avoidance - Verbal - Hedging],UK,HU
[Express of dislike],UK,HU
[Express of disinterest],HU,HU
[IAttempt to dissuade interlocutor - Question interlocutor],UK,E
[IAttempt to dissuade interlocutor - Question interlocutor],UK,HU
[Statement of regret],UK,HU
[Sarcasm],HU,HU
[Attempt to dissuade interlocutor - Challenging the interlocutor],UK,HU
[Express of dislike],HU,HU
[Express of disinterest],UK,HU
[Interjection],UK,E
[Statement of regret],UK,E
[Statement of positive opinion/feeling or agreement],UK,E
[Nonperformative statement],UK,HU
[Pause fillers]/[Interjection],UK,HU
[Attempt to dissuade interlocutor - Challenging the interlocutor],UK,HU
[Express of dislike],HU,HU
[Express of disinterest],UK,HU
[Interjection],UK,E
[Statement of regret],UK,E
[Statement of positive opinion/feeling or agreement],UK,E
[Nonperformative statement],UK,HU
[Pause fillers]/[Interjection],UK,HU
[Attempt to dissuade interlocutor - Challenging the interlocutor],UK,HU
[Express of dislike],HU,HU
[Express of disinterest],UK,HU
[Interjection],UK,E
[Statement of regret],UK,E
[Statement of positive opinion/feeling or agreement],UK,E
[Nonperformative statement],UK,HU
[Pause fillers]/[Interjection],UK,HU
[Express of dislike],UK,E
[IAttempt to dissuade interlocutor - Question interlocutor],HU,HU
[Statement of positive opinion/feeling or agreement],UK,HU
[Express of dislike],UK,E
[IAttempt to dissuade interlocutor - Question interlocutor],HU,HU
[Statement of positive opinion/feeling or agreement],UK,HU
[Express of dislike],UK,E
[IAttempt to dissuade interlocutor - Question interlocutor],HU,HU
[Statement of positive opinion/feeling or agreement],UK,HU
[Express of dislike],UK,E
[IAttempt to dissuade interlocutor - Question interlocutor],HU,HU
[Statement of positive opinion/feeling or agreement],UK,HU
[IAttempt to dissuade interlocutor - Criticize the request],HU,E
[IAttempt to dissuade interlocutor - Criticize the request],UK,E
[Interjection],UK,HU
[IAttempt to dissuade interlocutor - Criticize the request],HU,E
[IAttempt to dissuade interlocutor - Criticize the request],UK,E
[Interjection],UK,HU
[IAttempt to dissuade interlocutor - Criticize the request],HU,E
[IAttempt to dissuade interlocutor - Criticize the request],UK,E
[Interjection],UK,HU
[IAttempt to dissuade interlocutor - Criticize the request],HU,E
[IAttempt to dissuade interlocutor - Criticize the request],UK,E
[Interjection],UK,HU
[IAttempt to dissuade interlocutor - Criticize the request],HU,E
[IAttempt to dissuade interlocutor - Criticize the request],UK,E
[Interjection],UK,HU
[IAttempt to dissuade interlocutor - Criticize the request],HU,E
[IAttempt to dissuade interlocutor - Criticize the request],UK,E
[Interjection],UK,HU
[IAttempt to dissuade interlocutor - Criticize the request],HU,E
[IAttempt to dissuade interlocutor - Criticize the request],UK,E
[Interjection],UK,HU
"[Excuse, reason, explanation]",UK,HU
"[Excuse, reason, explanation]",HU,E
"[Excuse, reason, explanation]",HU,HU
"[Excuse, reason, explanation]",UK,HU
"[Excuse, reason, explanation]",HU,E
"[Excuse, reason, explanation]",HU,HU
"[Excuse, reason, explanation]",UK,HU
"[Excuse, reason, explanation]",HU,E
"[Excuse, reason, explanation]",HU,HU
"[Excuse, reason, explanation]",UK,HU
"[Excuse, reason, explanation]",HU,E
"[Excuse, reason, explanation]",HU,HU
"[Excuse, reason, explanation]",UK,HU
"[Excuse, reason, explanation]",HU,E
"[Excuse, reason, explanation]",HU,HU
"[Excuse, reason, explanation]",UK,HU
"[Excuse, reason, explanation]",HU,E
