strategy,osszesen hanyszor volt hasznalva
[Acceptance that functions as a refusal],0
[Acceptance that functions as a refusal - Lack of enthusiasm],0
[Adjuncts to Refusal - Asking for interlocutor’s opinion after refusal],0
[Adjuncts to Refusals - Statement of positive opinion/feeling or agreement],0
[Ask to discuss it],0
[Attempt to dissuade interlocutor - Challenging the interlocutor],0
[IAttempt to dissuade interlocutor - Criticize the request],0
[Attempt to dissuade interlocutor - Criticize the requester],0
[Avoidance - Verbal - Hedging],0
"[Excuse, reason, explanation]",0
[Express of dislike],0
[Express of disinterest],0
[IAttempt to dissuade interlocutor - Question interlocutor],0
[Interjection],0
[Nonperformative statement - Negative willingness/ability],0
[Statement of alternative],0
[Statement of regret],0
[Compromise],0
[Nonperformative statement - Negative direct statement],0
[Pause fillers/[Interjection]],0
[Statement of positive opinion/feeling or agreement],0
[Adjuncts to Refusals - “Have fun without me”],0
"[Nonperformative statement - No]
",0
[Wish],0
Hedging (main),0
Promise or possibility of future acceptance,0
[Second conditional acceptance],0
"[Adjuncts to Refusals - “Have fun without me”]
",0
"[Attempt to dissuade interlocutor - Request for help, empathy, and assistance by dropping or holding the request]",0
[Attempt to dissuade interlocutor],0
[Sarcasm],0
[Avoidance - verbal - postponement],0
[Avoidance (Silence)],0
[Express that they do not prefer it],0
[Nonperformative statement],0
[Pause fillers]/[Interjection],0
